Date,Close/Last,Volume,Open,High,Low
04/04/2019,$2.84,395395,$2.93,$2.93,$2.79
04/03/2019,$2.89,270490,$3,$3,$2.88
04/02/2019,$2.99,732746,$2.98,$3.0869,$2.84
04/01/2019,$3.12,431558,$3,$3.17,$2.97
03/29/2019,$2.96,389218,$3.19,$3.19,$2.92
03/28/2019,$3.16,389277,$3.08,$3.33,$3.0553
03/27/2019,$3.1,404480,$2.92,$3.18,$2.88
03/26/2019,$2.92,190121,$2.9,$2.9685,$2.81
03/25/2019,$2.9,198265,$2.95,$3,$2.83
03/22/2019,$2.94,467827,$3.14,$3.1467,$2.92
03/21/2019,$3.18,133767,$3.24,$3.24,$3.119
03/20/2019,$3.24,229815,$3.28,$3.3,$3.06
03/19/2019,$3.25,387408,$3.56,$3.6336,$3.23
03/18/2019,$3.51,191469,$3.64,$3.72,$3.43
03/15/2019,$3.66,407989,$3.55,$3.78,$3.5295
03/14/2019,$3.5,334859,$3.76,$3.76,$3.43
03/13/2019,$3.71,199877,$3.61,$3.75,$3.6
03/12/2019,$3.59,267830,$3.61,$3.74,$3.56
03/11/2019,$3.54,251834,$3.4,$3.6226,$3.37
03/08/2019,$3.37,160533,$3.43,$3.43,$3.345
03/07/2019,$3.43,234339,$3.28,$3.46,$3.25
03/06/2019,$3.25,171399,$3.26,$3.28,$3.18
03/05/2019,$3.27,219118,$3.2,$3.392,$3.2
03/04/2019,$3.21,213292,$3.15,$3.23,$3.08
03/01/2019,$3.11,225368,$3.05,$3.14,$2.94
02/28/2019,$3.04,188972,$3.11,$3.12,$2.95
02/27/2019,$3.08,78135,$3.09,$3.11,$2.98
02/26/2019,$3.07,103181,$3.1,$3.13,$2.98
02/25/2019,$3.12,174216,$3.12,$3.2,$3.08
02/22/2019,$3.07,179459,$3.05,$3.1899,$3
02/21/2019,$3.01,125062,$3.04,$3.09,$2.95
02/20/2019,$3.03,217699,$3.14,$3.23,$3
02/19/2019,$3.09,564437,$2.97,$3.3593,$2.94
02/15/2019,$2.96,75468,$2.95,$3.0269,$2.95
02/14/2019,$2.94,93737,$3.07,$3.07,$2.89
